reply_settings,referenced_tweets,id,created_at,text,author_id,source,conversation_id,lang,in_reply_to_user_id,retweetcount,reply_count,like_count,quote_count,reference_type,reference_id,keyword,hashtags,tokens,word_count,sum_like_retweet,sentiment_polarity,sentiment_type
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487213881013514245,2022-01-28T23:59:54.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",896465480139124736,Twitter for iPhone,1487213881013514245,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487213716470960129,2022-01-28T23:59:15.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",407594448,Twitter Web App,1487213716470960129,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487148984623902721'}",1487213696166158337,2022-01-28T23:59:10.000Z,vancouver was lit love these guys to death  ,3182630996,Twitter for iPhone,1487213696166158337,en,,2,0,0,0,retweeted,1487148984623902721,vancouver lang:en,[],"['death', 'these', 'to', 'vancouver', 'love', 'was', 'guys', 'lit']",8,2,0.5,positive
everyone,"{'type': 'original', 'id': '1487213693788205056'}",1487213693788205056,2022-01-28T23:59:10.000Z,the maestra offers  amp elysium sessions and practitioner certification in       ,467844004,Sendible,1487213693788205056,en,,1,0,2,0,original,1487213693788205056,vancouver lang:en,"['#bondassage', '#vancouver,', '#bc,', '#canada', '#luxurybodywork', '#sensationplay']","['offers', 'amp', 'elysium', 'and', 'certification', 'maestra', 'practitioner', 'the', 'in', 'sessions']",10,3,0.1,positive
everyone,"{'type': 'replied_to', 'id': '1487211333808394243'}",1487213673269526535,2022-01-28T23:59:05.000Z, something going down police perimeter on killingswort and vancouver,1270066517141381120,Twitter for iPhone,1487211333808394243,en,1.3176761978415473e+18,0,1,0,0,replied_to,1487211333808394243,vancouver lang:en,[],"['down', 'on', 'vancouver', 'killingswort', 'and', 'police', 'something', 'going', 'perimeter']",9,0,-0.15555555555555559,negative
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487213605217001482,2022-01-28T23:58:49.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",1681719187,Twitter for iPhone,1487213605217001482,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'replied_to', 'id': '1487085752798298116'}",1487213603660787712,2022-01-28T23:58:48.000Z,   i have one of these and its one of my most prized possessions when i moved i hung it in my vancouver apartment in a spot i thought was off camera so many people in work meetings have asked is that a tractor my reply is you have a few minutes for a story  forever,4348824133,Twitter Web App,1486945629842509825,en,2571537139.0,1,1,2,0,replied_to,1487085752798298116,vancouver lang:en,['#kudatah'],"['these', 'most', 'spot', 'and', 'is', 'reply', 'forever', 'a', 'possessions', 'you', 'in', 'have', 'minutes', 'tractor', 'hung', 'story', 'off', 'of', 'people', 'when', 'prized', 'asked', 'apartment', 'meetings', 'was', 'many', 'one', 'few', 'i', 'my', 'it', 'its', 'thought', 'camera', 'vancouver', 'that', 'for', 'moved', 'work', 'so']",55,3,0.26666666666666666,positive
everyone,"{'type': 'replied_to', 'id': '1487192560993017862'}",1487213547239186432,2022-01-28T23:58:35.000Z, chengdu vs vancouver that close game in season 2,1271936769962004481,Twitter for iPhone,1487192560993017862,en,8.381848839020872e+17,0,0,0,0,replied_to,1487192560993017862,vancouver lang:en,[],"['close', '2', 'vancouver', 'vs', 'that', 'in', 'season', 'game', 'chengdu']",9,0,-0.4,negative
everyone,"{'type': 'retweeted', 'id': '1487207365900439553'}",1487213466171555840,2022-01-28T23:58:16.000Z,iconic vancouver watering hole formerly known as the railway club up for sale at 499000 ,14263421,Tweetbot for iΟS,1487213466171555840,en,,2,0,0,0,retweeted,1487207365900439553,vancouver lang:en,[],"['known', 'iconic', 'hole', 'railway', 'sale', 'vancouver', 'at', 'formerly', 'as', 'for', '499000', 'watering', 'up', 'the', 'club']",15,2,0.25,positive
everyone,"{'type': 'original', 'id': '1487213452439404545'}",1487213452439404545,2022-01-28T23:58:12.000Z,i just registered for rbc granfondo whistler 2022    ,1453242330832592899,Twitter for iPhone,1487213452439404545,en,,0,0,0,0,original,1487213452439404545,vancouver lang:en,"['#rbcgranfondo', '#vancouver']","['granfondo', 'rbc', 'registered', 'i', 'for', 'just', 'whistler', '2022']",8,0,0.0,neutral
